"file_path","sha256","media_type","true_class","is_unknown","split_role","source_group","session_id","device","view","background","lighting","source_video","frame_index","timestamp_seconds","physical_model_id","distance","occlusion","blur","notes"
"asset/Imagens_reais/Anta/19.jpg","faad0f60cb724cbd61370f29690bd01757a4b77fe39061ce3d8dd76fcc9b9c78","image","unknown","true","calibration_unknown","real_19","real_19","unknown","diorama_photo","diorama","unknown","","","","Anta","","","","auto_labeled_unknown_from_folder_without_blender_or_scene"
"asset/Imagens_reais/Anta/51.jpg","139c8bb131dca41a5d2753641c9000bf0e58d5b83d3149a7fb35498fbfcf8565","image","unknown","true","test_unknown","real_51","real_51","unknown","diorama_photo","diorama","unknown","","","","Anta","","","","auto_labeled_unknown_from_folder_without_blender_or_scene"
"asset/Imagens_reais/Anta/52.jpg","6aa9ae12a6f0d227489ff7b26009f77d35092e72e85013e2e7d7884886372a2e","image","unknown","true","test_unknown","real_52","real_52","unknown","diorama_photo","diorama","unknown","","","","Anta","","","","auto_labeled_unknown_from_folder_without_blender_or_scene"
"asset/Imagens_reais/Anta/53.jpg","908531cbbf0af18bd472f14b10445f7a34c88ec318385db1644f530c581277d3","image","unknown","true","test_unknown","real_53","real_53","unknown","diorama_photo","diorama","unknown","","","","Anta","","","","auto_labeled_unknown_from_folder_without_blender_or_scene"
"asset/Imagens_reais/Anta/54.jpg","8b962ba068e1566b3e9d74d0252cbb2a9001c7c0bd2c7ec40793a22a7405010d","image","unknown","true","test_unknown","real_54","real_54","unknown","diorama_photo","diorama","unknown","","","","Anta","","","","auto_labeled_unknown_from_folder_without_blender_or_scene"
"asset/Imagens_reais/Anta/55.jpg","c72722e80c1969e4348025a2c0bc51e78bb033db019ae947f333e17e320718f0","image","unknown","true","test_unknown","real_55","real_55","unknown","diorama_photo","diorama","unknown","","","","Anta","","","","auto_labeled_unknown_from_folder_without_blender_or_scene"
"asset/Imagens_reais/Anta/56.jpg","07ceb6cbf13aacb4b072c9178df58913aaa98c66cd9ff648dd3eea7ce13ef6bc","image","unknown","true","test_unknown","real_56","real_56","unknown","diorama_photo","diorama","unknown","","","","Anta","","","","auto_labeled_unknown_from_folder_without_blender_or_scene"
"asset/Imagens_reais/anta-capivara/4.jpg","e5592a542fe2b98de6e9b404f85ed5722a38ebf8058b97fac8e504c2d4dca719","image","unknown","true","exclude","real_4","real_4","unknown","diorama_photo_mixed","diorama","unknown","","","","anta-capivara","","","","excluded_mixed_animals_stress_case"
"asset/Imagens_reais/BOTO/27.jpg","7532a6b8e243ac9a9fe09adefd38b7c7d5fc2ea5f80694610fdc1800493bc8dd","image","boto_cor_de_rosa","false","calibration_known","real_27","real_27","unknown","diorama_photo","diorama","unknown","","","","BOTO","","","","auto_labeled_known_from_folder"
"asset/Imagens_reais/BOTO/28.jpg","a38a7b89ab25fad1071ebc0693581b1d1aa1fc57f007b250557cbd77ba28d1a8","image","boto_cor_de_rosa","false","calibration_known","real_28","real_28","unknown","diorama_photo","diorama","unknown","","","","BOTO","","","","auto_labeled_known_from_folder"
"asset/Imagens_reais/BOTO/29.jpg","ace3ef6bf844bb0f950f4daf83ccb44f906e47546d3603fefd436474306b6d4b","image","boto_cor_de_rosa","false","calibration_known","real_29","real_29","unknown","diorama_photo","diorama","unknown","","","","BOTO","","","","auto_labeled_known_from_folder"
"asset/Imagens_reais/BOTO/30.jpg","eb4559243650ef08c06a8b741eea19fcef8d8979e16fdc905e2163652ee7d22e","image","boto_cor_de_rosa","false","calibration_known","real_30","real_30","unknown","diorama_photo","diorama","unknown","","","","BOTO","","","","auto_labeled_known_from_folder"
"asset/Imagens_reais/BOTO/31.jpg","6da862bd920f5a0d49a51ec0ce6e79f733ff1b8fb0df28620ac7d759313006b7","image","boto_cor_de_rosa","false","calibration_known","real_31","real_31","unknown","diorama_photo","diorama","unknown","","","","BOTO","","","","auto_labeled_known_from_folder"
"asset/Imagens_reais/BOTO/32.jpg","96037bd50b695c26a0307840b85e5b58196be8379987d86c881e4620008beb6b","image","boto_cor_de_rosa","false","calibration_known","real_32","real_32","unknown","diorama_photo","diorama","unknown","","","","BOTO","","","","auto_labeled_known_from_folder"
"asset/Imagens_reais/BOTO/33.jpg","f0fb92b9b7b98d965a14b5156cfb11e7f25686daa77da650fc7ab2bc8189cf0d","image","boto_cor_de_rosa","false","calibration_known","real_33","real_33","unknown","diorama_photo","diorama","unknown","","","","BOTO","","","","auto_labeled_known_from_folder"
"asset/Imagens_reais/BOTO/34.jpg","2c1371c4dd993c980b5718c80c087eaa2e9ccb7043b8556619263f2db4214662","image","boto_cor_de_rosa","false","test_known","real_34","real_34","unknown","diorama_photo","diorama","unknown","","","","BOTO","","","","auto_labeled_known_from_folder"
"asset/Imagens_reais/BOTO/35.jpg","f1e14bc6b5ff7516cf21bd6d28c1accd5328ee1c9e5bed82f2e9ba087f349ab1","image","boto_cor_de_rosa","false","test_known","real_35","real_35","unknown","diorama_photo","diorama","unknown","","","","BOTO","","","","auto_labeled_known_from_folder"
"asset/Imagens_reais/BOTO/36.jpg","22f535b0c29efef9b2f0a70b7705630c13ff24d6a36c6497638f7d1173e3f0a3","image","boto_cor_de_rosa","false","test_known","real_36","real_36","unknown","diorama_photo","diorama","unknown","","","","BOTO","","","","auto_labeled_known_from_folder"
"asset/Imagens_reais/BOTO/37.jpg","e23f03c1b2d4e2f33f9c8baf5ffd6fca1918b4040b576795e5663222a777f270","image","boto_cor_de_rosa","false","test_known","real_37","real_37","unknown","diorama_photo","diorama","unknown","","","","BOTO","","","","auto_labeled_known_from_folder"
"asset/Imagens_reais/BOTO/38.jpg","8081f10f3edd2fec1e4139e59af22d4e4eede40f5ebe138e5bf9c3dfc9209463","image","boto_cor_de_rosa","false","test_known","real_38","real_38","unknown","diorama_photo","diorama","unknown","","","","BOTO","","","","auto_labeled_known_from_folder"
"asset/Imagens_reais/BOTO/39.jpg","13bbf803efd4e4908e4634275b141d8e70bd4ac7c3d5fb5bd8be0e6d9a7ad51f","image","boto_cor_de_rosa","false","test_known","real_39","real_39","unknown","diorama_photo","diorama","unknown","","","","BOTO","","","","auto_labeled_known_from_folder"
"asset/Imagens_reais/Boto-Capivara/10.jpg","301e0a7ad992dfc862dd0448fed4091fb32a433da68a81fcf7c7870668f9a916","image","unknown","true","exclude","real_10","real_10","unknown","diorama_photo_mixed","diorama","unknown","","","","Boto-Capivara","","","","excluded_mixed_animals_stress_case"
"asset/Imagens_reais/Boto-Capivara/5.jpg","e0ee221fcf02f66218928ab36e21a5a823781d6152398c545fbde6580fba1a32","image","unknown","true","exclude","real_5","real_5","unknown","diorama_photo_mixed","diorama","unknown","","","","Boto-Capivara","","","","excluded_mixed_animals_stress_case"
"asset/Imagens_reais/Boto-Capivara/7.jpg","0ad521f685e92436e317375231fc1d9360f9021f453770b9b20f23ba87ece27a","image","unknown","true","exclude","real_7","real_7","unknown","diorama_photo_mixed","diorama","unknown","","","","Boto-Capivara","","","","excluded_mixed_animals_stress_case"
"asset/Imagens_reais/Boto-Capivara/8.jpg","f17f6adf5e91821e26d8b31fb0b98d9d35b99787cbabd027c25f9643b4789c3f","image","unknown","true","exclude","real_8","real_8","unknown","diorama_photo_mixed","diorama","unknown","","","","Boto-Capivara","","","","excluded_mixed_animals_stress_case"
"asset/Imagens_reais/boto-onça/57.jpg","916aaaba0269678838141d848e2a7eb6557297dfe0e78d803c5ad3215e1ccc24","image","unknown","true","exclude","real_57","real_57","unknown","diorama_photo_mixed","diorama","unknown","","","","boto-onça","","","","excluded_mixed_animals_stress_case"
"asset/Imagens_reais/boto-onça/58.jpg","ffd947a2368d492c7fbeb4adb1b0169b466cddc015f1483695bb341c8a44a363","image","unknown","true","exclude","real_58","real_58","unknown","diorama_photo_mixed","diorama","unknown","","","","boto-onça","","","","excluded_mixed_animals_stress_case"
